Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,-1,136,CFD-WF-023-021-HC.jpg,CFD-WF-008-003-HO.jpg,CFD-WF-033-005-HO.jpg,CFD-WF-203-229-N.jpg,CFD-WF-204-038-N.jpg,CFD-WM-001-007-HC.jpg
1,-1,7,CFD-WF-018-019-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-038-027-HC.jpg,CFD-WF-007-026-F.jpg,CFD-WF-028-019-F.jpg,CFD-WF-024-003-N.jpg
0,1,87,CFD-WF-234-086-N.jpg,CFD-WF-246-087-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-019-005-N.jpg,CFD-WF-035-033-A.jpg,CFD-WF-218-087-N.jpg
0,-1,142,CFD-WF-005-010-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-028-026-A.jpg,CFD-WF-029-002-N.jpg,CFD-WF-006-006-HO.jpg,CFD-WF-206-147-N.jpg
1,1,149,CFD-WF-021-013-F.jpg,CFD-WF-003-025-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-223-133-N.jpg,CFD-WF-250-167-N.jpg,CFD-WF-028-025-HC.jpg
1,1,102,CFD-WF-243-148-N.jpg,CFD-WF-036-015-A.jpg,CFD-WF-017-023-A.jpg,CFD-WF-027-021-HO.jpg,CFD-WF-023-021-HC.jpg,CFD-WM-001-007-HC.jpg
1,-1,75,CFD-WF-013-009-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-252-159-N.jpg,CFD-WF-011-016-F.jpg,CFD-WF-203-229-N.jpg,CFD-WF-222-092-N.jpg
0,1,135,CFD-WF-009-001-N.jpg,CFD-WF-008-003-HO.jpg,CFD-WF-033-031-A.jpg,CFD-WF-243-148-N.jpg,CFD-WF-014-023-F.jpg,CFD-WM-001-007-HC.jpg
1,-1,34,CFD-WF-025-006-HO.jpg,CFD-WF-024-031-F.jpg,CFD-WF-038-023-HO.jpg,CFD-WF-019-015-A.jpg,CFD-WF-026-017-HO.jpg,CFD-WM-001-007-HC.jpg
1,1,124,CFD-WF-017-003-N.jpg,CFD-WF-037-024-F.jpg,CFD-WF-018-013-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-033-005-HO.jpg,CFD-WF-016-003-HO.jpg
1,1,58,CFD-WF-012-007-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-034-006-N.jpg,CFD-WF-249-126-N.jpg,CFD-WF-209-052-N.jpg,CFD-WF-029-002-N.jpg
0,1,42,CFD-WM-001-007-HC.jpg,CFD-WF-024-010-HC.jpg,CFD-WF-002-025-F.jpg,CFD-WF-009-006-HC.jpg,CFD-WF-009-001-N.jpg,CFD-WF-024-006-HO.jpg
0,1,121,CFD-WF-003-003-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-011-016-F.jpg,CFD-WF-013-006-HO.jpg,CFD-WF-235-121-N.jpg,CFD-WF-008-003-HO.jpg
0,1,5,CFD-WF-008-005-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-039-005-HO.jpg,CFD-WF-008-002-N.jpg,CFD-WF-021-016-HO.jpg,CFD-WF-020-002-N.jpg
1,1,61,CFD-WF-220-101-N.jpg,CFD-WF-218-087-N.jpg,CFD-WF-229-004-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-011-016-F.jpg,CFD-WF-022-007-HC.jpg
0,1,6,CFD-WM-001-007-HC.jpg,CFD-WF-244-163-N.jpg,CFD-WF-031-027-N.jpg,CFD-WF-001-027-F.jpg,CFD-WF-011-006-HC.jpg,CFD-WF-023-021-HC.jpg
