Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
0,-1,10,CFD-WM-024-015-N.jpg,CFD-WM-022-001-N.jpg,CFD-WM-242-011-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-040-022-N.jpg,CFD-WM-212-097-N.jpg
1,-1,47,CFD-WF-001-003-N.jpg,CFD-WM-033-053-F.jpg,CFD-WM-018-005-HC.jpg,CFD-WM-038-018-F.jpg,CFD-WM-006-010-HO.jpg,CFD-WM-012-001-N.jpg
0,1,44,CFD-WM-022-001-N.jpg,CFD-WM-220-068-N.jpg,CFD-WM-018-004-HO.jpg,CFD-WM-035-036-HC.jpg,CFD-WM-035-032-N.jpg,CFD-WF-001-003-N.jpg
1,-1,3,CFD-WM-031-004-HO.jpg,CFD-WM-206-045-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-024-007-HC.jpg,CFD-WM-020-005-HC.jpg,CFD-WM-249-239-N.jpg
1,-1,74,CFD-WM-013-015-A.jpg,CFD-WM-020-001-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-038-018-F.jpg,CFD-WM-210-057-N.jpg,CFD-WM-009-009-A.jpg
0,-1,126,CFD-WM-012-026-F.jpg,CFD-WM-013-008-HC.jpg,CFD-WM-038-018-F.jpg,CFD-WM-025-019-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-039-008-HO.jpg
1,1,52,CFD-WF-001-003-N.jpg,CFD-WM-020-005-HC.jpg,CFD-WM-231-112-N.jpg,CFD-WM-040-022-N.jpg,CFD-WM-004-005-HC.jpg,CFD-WM-035-028-F.jpg
0,1,41,CFD-WM-250-157-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WM-002-017-A.jpg,CFD-WM-024-019-F.jpg,CFD-WM-033-007-HO.jpg,CFD-WF-001-003-N.jpg
1,1,64,CFD-WF-001-003-N.jpg,CFD-WM-015-023-F.jpg,CFD-WM-041-021-N.jpg,CFD-WM-018-005-HC.jpg,CFD-WM-036-031-N.jpg,CFD-WM-038-018-F.jpg
0,1,137,CFD-WM-037-060-A.jpg,CFD-WM-218-074-N.jpg,CFD-WM-019-003-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WM-011-019-F.jpg
0,1,24,CFD-WM-019-017-F.jpg,CFD-WM-040-023-HO.jpg,CFD-WM-009-006-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-033-006-HC.jpg,CFD-WM-031-003-N.jpg
1,-1,14,CFD-WM-035-018-A.jpg,CFD-WM-022-003-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-006-010-HO.jpg,CFD-WM-010-001-N.jpg,CFD-WM-025-008-A.jpg
