Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,1,223,CFD-WF-001-003-N.jpg,CFD-WM-016-005-HC.jpg,CFD-WM-207-048-N.jpg,CFD-WM-022-003-HC.jpg,CFD-WM-037-060-A.jpg,CFD-WM-205-007-N.jpg
0,1,193,CFD-WM-225-127-N.jpg,CFD-WM-028-007-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-023-001-N.jpg,CFD-WM-040-007-A.jpg,CFD-WM-238-020-N.jpg
0,1,298,CFD-WM-025-019-HO.jpg,CFD-WM-001-011-HO.jpg,CFD-WM-253-119-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-036-018-A.jpg,CFD-WM-024-015-N.jpg
0,1,177,CFD-WM-015-017-A.jpg,CFD-WM-010-020-F.jpg,CFD-WM-011-003-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-040-023-HO.jpg,CFD-WM-040-033-F.jpg
1,-1,175,CFD-WM-032-008-HC.jpg,CFD-WM-238-020-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-029-029-HO.jpg,CFD-WM-015-002-N.jpg,CFD-WM-244-003-N.jpg
0,1,296,CFD-WF-001-003-N.jpg,CFD-WM-028-005-HC.jpg,CFD-WM-018-002-N.jpg,CFD-WM-017-003-HC.jpg,CFD-WM-221-091-N.jpg,CFD-WM-010-004-HO.jpg
1,-1,194,CFD-WM-001-014-N.jpg,CFD-WM-014-002-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-039-004-HC.jpg,CFD-WM-034-030-N.jpg,CFD-WM-022-008-A.jpg
0,-1,219,CFD-WM-227-099-N.jpg,CFD-WM-221-091-N.jpg,CFD-WM-035-036-HC.jpg,CFD-WM-025-018-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-034-035-HO.jpg
0,-1,289,CFD-WM-035-032-N.jpg,CFD-WM-002-008-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-028-005-HC.jpg,CFD-WM-230-131-N.jpg,CFD-WM-028-003-N.jpg
1,1,208,CFD-WM-004-006-HO.jpg,CFD-WM-033-053-F.jpg,CFD-WM-026-001-N.jpg,CFD-WM-019-017-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-006-039-F.jpg
1,1,162,CFD-WM-036-031-N.jpg,CFD-WM-037-060-A.jpg,CFD-WM-006-039-F.jpg,CFD-WM-025-022-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-032-008-HC.jpg
1,-1,154,CFD-WM-017-002-N.jpg,CFD-WM-033-006-HC.jpg,CFD-WM-024-019-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-025-002-N.jpg,CFD-WM-039-008-HO.jpg
1,-1,246,CFD-WM-032-021-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-011-003-HO.jpg,CFD-WM-034-035-HO.jpg,CFD-WM-040-033-F.jpg,CFD-WM-010-020-F.jpg
0,-1,161,CFD-WM-227-099-N.jpg,CFD-WM-034-035-HO.jpg,CFD-WM-028-019-F.jpg,CFD-WM-209-038-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-013-001-N.jpg
1,-1,174,CFD-WM-031-045-A.jpg,CFD-WF-001-003-N.jpg,CFD-WM-015-002-N.jpg,CFD-WM-213-076-N.jpg,CFD-WM-208-068-N.jpg,CFD-WM-037-025-N.jpg
1,1,211,CFD-WF-001-003-N.jpg,CFD-WM-035-032-N.jpg,CFD-WM-025-018-HC.jpg,CFD-WM-204-031-N.jpg,CFD-WM-003-006-HC.jpg,CFD-WM-010-007-HC.jpg
0,-1,262,CFD-WM-028-007-HO.jpg,CFD-WM-003-006-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-237-052-N.jpg,CFD-WM-011-006-HC.jpg,CFD-WM-016-001-N.jpg
0,-1,271,CFD-WM-026-013-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-006-039-F.jpg,CFD-WM-252-224-N.jpg,CFD-WM-202-107-N.jpg,CFD-WM-010-007-HC.jpg
0,1,181,CFD-WF-001-003-N.jpg,CFD-WM-017-002-N.jpg,CFD-WM-022-008-A.jpg,CFD-WM-010-001-N.jpg,CFD-WM-218-074-N.jpg,CFD-WM-025-002-N.jpg
0,-1,235,CFD-WF-001-003-N.jpg,CFD-WM-006-002-N.jpg,CFD-WM-018-005-HC.jpg,CFD-WM-021-006-HC.jpg,CFD-WM-022-003-HC.jpg,CFD-WM-022-001-N.jpg
1,-1,226,CFD-WM-026-013-F.jpg,CFD-WM-028-005-HC.jpg,CFD-WM-017-011-A.jpg,CFD-WM-029-029-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-031-003-N.jpg
1,-1,156,CFD-WF-001-003-N.jpg,CFD-WM-238-020-N.jpg,CFD-WM-001-014-N.jpg,CFD-WM-213-076-N.jpg,CFD-WM-037-034-HO.jpg,CFD-WM-019-017-F.jpg
0,1,200,CFD-WM-208-068-N.jpg,CFD-WM-022-012-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-035-028-F.jpg,CFD-WM-029-023-N.jpg,CFD-WM-037-063-F.jpg
1,-1,190,CFD-WF-001-003-N.jpg,CFD-WM-237-052-N.jpg,CFD-WM-019-009-HO.jpg,CFD-WM-017-011-A.jpg,CFD-WM-235-147-N.jpg,CFD-WM-255-219-N.jpg
1,-1,166,CFD-WM-204-031-N.jpg,CFD-WM-015-017-A.jpg,CFD-WF-001-003-N.jpg,CFD-WM-009-006-HC.jpg,CFD-WM-022-003-HC.jpg,CFD-WM-200-034-N.jpg
0,-1,232,CFD-WM-011-011-A.jpg,CFD-WM-019-006-HC.jpg,CFD-WM-217-070-N.jpg,CFD-WM-233-106-N.jpg,CFD-WM-019-017-F.jpg,CFD-WF-001-003-N.jpg
0,-1,254,CFD-WM-035-028-F.jpg,CFD-WM-014-024-F.jpg,CFD-WM-033-053-F.jpg,CFD-WM-034-035-HO.jpg,CFD-WM-004-010-N.jpg,CFD-WF-001-003-N.jpg
