# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
0,-1,96,CFD-WM-017-003-HC.jpg,CFD-WM-230-131-N.jpg,CFD-WM-253-119-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-028-003-N.jpg,CFD-WM-240-125-N.jpg
0,-1,115,CFD-WM-206-045-N.jpg,CFD-WM-035-033-HO.jpg,CFD-WM-218-074-N.jpg,CFD-WM-035-032-N.jpg,CFD-WM-035-018-A.jpg,CFD-WF-001-003-N.jpg
0,-1,2,CFD-WM-026-013-F.jpg,CFD-WM-015-009-HC.jpg,CFD-WM-010-004-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-228-065-N.jpg,CFD-WM-032-021-F.jpg
1,-1,28,CFD-WM-229-129-N.jpg,CFD-WM-241-072-N.jpg,CFD-WM-031-038-HC.jpg,CFD-WM-036-031-N.jpg,CFD-WM-223-056-N.jpg,CFD-WF-001-003-N.jpg
0,1,125,CFD-WM-040-007-A.jpg,CFD-WM-036-034-HO.jpg,CFD-WM-217-070-N.jpg,CFD-WM-025-022-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-023-012-A.jpg
1,-1,50,CFD-WF-001-003-N.jpg,CFD-WM-017-019-F.jpg,CFD-WM-025-002-N.jpg,CFD-WM-221-091-N.jpg,CFD-WM-230-131-N.jpg,CFD-WM-040-023-HO.jpg
0,-1,38,CFD-WF-001-003-N.jpg,CFD-WM-003-002-N.jpg,CFD-WM-018-004-HO.jpg,CFD-WM-020-008-A.jpg,CFD-WM-024-007-HC.jpg,CFD-WM-018-002-N.jpg
0,-1,44,CFD-WM-028-005-HC.jpg,CFD-WM-040-022-N.jpg,CFD-WM-210-057-N.jpg,CFD-WM-024-015-N.jpg,CFD-WM-015-002-N.jpg,CFD-WF-001-003-N.jpg
0,1,15,CFD-WM-016-008-A.jpg,CFD-WM-011-006-HC.jpg,CFD-WM-223-056-N.jpg,CFD-WM-003-002-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-205-007-N.jpg
0,-1,47,CFD-WM-201-063-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-025-002-N.jpg,CFD-WM-038-018-F.jpg,CFD-WM-033-025-N.jpg,CFD-WM-012-001-N.jpg
0,-1,141,CFD-WM-024-007-HC.jpg,CFD-WM-010-016-A.jpg,CFD-WF-001-003-N.jpg,CFD-WM-004-006-HO.jpg,CFD-WM-001-014-N.jpg,CFD-WM-021-001-N.jpg
0,-1,142,CFD-WM-021-004-HO.jpg,CFD-WM-011-019-F.jpg,CFD-WM-219-008-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-256-138-N.jpg,CFD-WM-240-125-N.jpg
1,-1,66,CFD-WM-022-003-HC.jpg,CFD-WM-018-005-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-218-074-N.jpg,CFD-WM-012-007-HC.jpg,CFD-WM-041-009-A.jpg
0,-1,10,CFD-WM-033-025-N.jpg,CFD-WM-230-131-N.jpg,CFD-WM-202-107-N.jpg,CFD-WM-040-025-HC.jpg,CFD-WM-208-068-N.jpg,CFD-WF-001-003-N.jpg
1,-1,132,CFD-WM-015-017-A.jpg,CFD-WF-001-003-N.jpg,CFD-WM-029-020-F.jpg,CFD-WM-218-074-N.jpg,CFD-WM-257-161-N.jpg,CFD-WM-252-224-N.jpg
0,1,35,CFD-WM-034-040-A.jpg,CFD-WF-001-003-N.jpg,CFD-WM-020-008-A.jpg,CFD-WM-038-011-A.jpg,CFD-WM-022-008-A.jpg,CFD-WM-029-023-N.jpg
